AT,EV,AP,RH,target
0.8242963,0.73647684,0.6233606,0.41561535,0.0
0.38251853,0.2411032,0.5513487,0.46173254,1.0
0.92355555,0.8633452,0.332096,0.26268572,0.0
0.45303702,0.65373665,0.68052465,0.90860665,0.0
0.88503706,0.8683274,0.4555803,0.38029155,0.0
0.109925926,0.31120998,0.49195743,0.91126996,1.0
0.48029628,0.43451956,0.27146745,0.999159,0.0
0.6939259,0.73096085,0.45731255,0.3152509,0.0
0.741037,0.63345194,0.47908932,0.40089712,0.0
0.6468148,0.81654805,0.2976986,0.91197085,0.0
0.41096297,0.3263345,0.549369,0.42262405,1.0
0.82162964,0.8830961,0.2996783,0.57303053,0.0
0.754963,0.66370106,0.3647612,0.40944773,0.0
0.46577778,0.34768683,0.68324673,0.5927951,1.0
0.42044446,0.31423488,0.48205888,0.1456406,1.0
0.5742222,0.47935942,0.37985647,0.7061957,0.0
0.5223704,0.61761564,0.5421925,0.5641996,0.0
0.78044444,0.88149464,0.26676565,0.6659658,0.0
0.88681483,0.83434165,0.4780995,0.17956266,0.0
0.70103705,0.7113879,0.5545657,0.3013737,0.0
0.44474074,0.29003558,0.43553576,0.4812167,1.0
0.6491852,0.59181494,0.579807,0.5937763,0.0
0.5937778,0.5866548,0.49839148,0.5267732,0.0
0.7051852,0.869395,0.4298441,0.64956546,0.0
0.65422225,0.7950178,0.4521158,0.7862349,0.0
0.6948148,0.7161922,0.53303635,0.41407344,0.0
0.2642963,0.266726,0.47958425,0.8528175,1.0
0.90607405,0.8683274,0.38703293,0.4524811,0.0
0.5608889,0.58291817,0.5577827,0.6878329,0.0
0.7517037,0.6033808,0.48700815,0.49579477,0.0
0.62755555,0.37099645,0.44097996,0.43874404,0.0
0.19851851,0.25444838,0.5511012,0.8102046,1.0
0.41362962,0.25729537,0.49789655,0.7049341,1.0
0.568,0.30017793,0.50061864,0.54051024,1.0
0.6394074,0.64964414,0.43207127,0.28174937,0.0
0.3597037,0.26405695,0.50210345,0.868517,1.0
0.5922963,0.7220641,0.47339767,0.48654333,0.0
0.8142222,0.84021354,0.35882208,0.6173255,0.0
0.6207407,0.33256227,0.34793368,0.6344267,0.0
0.17451853,0.27330962,0.7404108,0.745164,1.0
0.50133336,0.26263344,0.5023509,0.63512754,1.0
0.74814814,0.80266905,0.34917098,0.61059713,0.0
0.32296297,0.31423488,0.47908932,0.47476873,1.0
0.1197037,0.28807828,0.22420193,0.9896271,1.0
0.6352593,0.78451955,0.5186835,0.5793384,0.0
0.52977777,0.55676156,0.6886909,0.58943087,1.0
0.8408889,0.7327402,0.28458303,0.457247,0.0
0.7259259,0.7677936,0.50408316,0.5585927,0.0
0.509037,0.34234875,0.5397179,0.15839641,1.0
0.69185185,0.51316726,0.48997772,0.40944773,0.0
0.53362966,0.5836299,0.5906954,0.6426969,1.0
0.85392594,0.869395,0.3608018,0.24824783,0.0
0.7964444,0.8172598,0.4041079,0.55424726,0.0
0.26637036,0.29003558,0.51719874,0.74502385,1.0
0.27555555,0.21601424,0.5144766,0.62881976,1.0
0.58637035,0.6128114,0.59415984,0.6697505,0.0
0.75703704,0.7327402,0.45582777,0.23114662,0.0
0.79496294,0.7327402,0.43405098,0.20437342,0.0
0.842963,0.84021354,0.34917098,0.5144379,0.0
0.38637036,0.34288257,0.6874536,0.65811604,1.0
0.3771852,0.3163701,0.4298441,0.7593216,1.0
0.13866666,0.19466192,0.58475626,0.5647603,1.0
0.8625185,0.93754447,0.4481564,0.43187553,0.0
0.7451852,0.85978645,0.51769364,0.7844127,0.0
0.31792593,0.3322064,0.35040832,0.7740398,1.0
0.7514074,0.7439502,0.3432319,0.7398374,0.0
0.6171852,0.6827402,0.51942587,0.7767031,0.0
0.30962962,0.32241994,0.5820342,0.6187272,1.0
0.752,0.7046263,0.34199455,0.6333053,0.0
0.41303703,0.2455516,0.5795595,0.6893748,1.0
0.66074073,0.7640569,0.6048008,0.70577514,0.0
0.1285926,0.27419928,0.73075974,0.83767873,1.0
0.74192595,0.5663701,0.3714427,0.43776283,0.0
0.49125925,0.2341637,0.6624598,0.5343426,0.0
0.5048889,0.34288257,0.40014848,0.7841323,1.0
0.4008889,0.29537368,0.47488245,0.9995795,1.0
0.77096295,0.8350534,0.4738926,0.2810485,0.0
0.46103704,0.41921708,0.4706756,0.41477433,1.0
0.5964444,0.5718861,0.5382331,0.69680405,0.0
0.24177778,0.28932384,0.52214795,0.9421082,1.0
0.5979259,0.59786475,0.5246226,0.45542473,0.0
0.2542222,0.26441282,0.41771838,0.7633866,1.0
0.34814814,0.24590747,0.75501114,0.49074852,1.0
0.76177776,0.7316726,0.29943085,0.33263245,0.0
0.46192592,0.3163701,0.6340015,0.65180826,1.0
0.22874074,0.286121,0.6216283,0.71881133,1.0
0.5757037,0.6781139,0.46943825,0.9561256,0.0
0.5351111,0.43291816,0.4785944,0.5573311,1.0
0.7226667,0.61761564,0.5409552,0.42893186,0.0
0.5644444,0.6827402,0.38728037,0.9534623,0.0
0.21985185,0.30391458,0.5308092,0.9165966,1.0
0.15407407,0.22135231,0.70725065,0.4770115,1.0
0.53896296,0.6752669,0.59811926,0.48065603,0.0
0.58666664,0.69875443,0.6921554,0.57359123,0.0
0.7697778,0.78060496,0.4941846,0.23689374,0.0
0.25807407,0.29928824,0.5446672,0.93720216,1.0
0.3748148,0.5064057,0.58549863,0.5508831,1.0
0.24118519,0.29288256,0.99480325,0.5695262,1.0
0.81807405,0.88149464,0.27765405,0.5007009,0.0
0.3845926,0.39982206,0.3558525,0.88631904,1.0
0.7739259,0.85978645,0.5572878,0.29632744,0.0
0.94162965,0.95533806,0.36872062,0.48696384,0.0
0.19585185,0.3163701,0.46349913,0.72203535,1.0
0.81274074,0.62046266,0.41400644,0.4331371,0.0
0.110518515,0.36494663,0.39099234,0.9405663,1.0
0.74785185,0.6012455,0.4934422,0.385478,0.0
0.65037036,0.45960855,0.41573867,0.58957106,0.0
0.21155556,0.23487544,0.61766887,0.49803758,1.0
0.42844445,0.33540925,0.6847315,0.7486684,1.0
0.16148148,0.2727758,0.6815145,0.8608074,1.0
0.70696294,0.8793594,0.42934918,0.5615363,0.0
0.9022222,0.85978645,0.5409552,0.44981778,0.0
0.44533333,0.34964412,0.5753526,0.6578357,1.0
0.102814816,0.29733098,0.2704776,0.72932434,1.0
0.79377776,0.6494662,0.46943825,0.46705917,0.0
0.2551111,0.34679714,0.5268498,0.8347351,1.0
0.3845926,0.23790036,0.17173967,0.8079619,1.0
0.33274075,0.2727758,0.5708983,0.7507709,1.0
0.5825185,0.8,0.46597376,0.8347351,0.0
0.1762963,0.30106762,0.38678545,0.7639473,1.0
0.11022222,0.18558718,0.5095273,0.9164564,1.0
0.5988148,0.38380784,0.53031427,0.3800112,0.0
0.46992594,0.3510676,0.5288295,0.32394168,1.0
0.60948145,0.8272242,0.41252166,0.6462013,0.0
0.20503704,0.28291816,0.6842366,0.8769274,1.0
0.5262222,0.769573,0.45137343,0.94743484,0.0
0.5146667,0.4405694,0.32417718,0.999159,0.0
0.16207407,0.23487544,0.64513737,0.5490608,1.0
0.744,0.76352316,0.37663946,0.4614522,0.0
0.15377778,0.22633451,0.6775551,0.68488926,1.0
0.6903704,0.7466192,0.53452116,0.41463414,0.0
0.65125924,0.58434165,0.59094286,0.37945053,0.0
