fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,target
0.42975205,0.31333333,0.18072289,0.115030676,0.030973451,0.045138888,0.14976959,0.113553114,0.17054264,0.07954545,0.5507246,1.0
0.23966943,0.06666667,0.14457831,0.148773,0.09955752,0.21875,0.4124424,0.15577406,0.31007752,0.1590909,0.3768116,0.0
0.23966943,0.1,0.18674698,0.023006136,0.07522124,0.10069445,0.20737328,0.105841525,0.4728682,0.23863636,0.39130434,0.0
0.2231405,0.053333335,0.19879518,0.006134969,0.03318584,0.07638889,0.15898618,0.07113939,0.4496124,0.09659091,0.49275362,0.0
0.28099173,0.33333334,0.1626506,0.0797546,0.044247787,0.13541667,0.2580645,0.0726817,0.3488372,0.17613636,0.7246377,0.0
0.23140496,0.1,0.12048193,0.16564417,0.07079646,0.15277778,0.28801844,0.17216118,0.18604651,0.16477273,0.24637681,0.0
0.677686,0.20666666,0.39759037,0.036809817,0.17920354,0.038194444,0.05529954,0.24079429,0.35658914,0.23295455,0.4057971,0.0
0.23140496,0.12,0.14457831,0.10122699,0.057522126,0.09375,0.30184332,0.15596683,0.4883721,0.2159091,0.3478261,0.0
0.1570248,0.7,0.05421687,0.013803681,0.3539823,0.020833334,0.029953917,0.13283208,0.60465115,0.14772727,0.26086956,1.0
0.2644628,0.026666667,0.1746988,0.148773,0.059734512,0.1388889,0.21198156,0.16444959,0.36434108,0.09090909,0.26086956,0.0
0.32231405,0.24,0.14457831,0.16257669,0.042035397,0.1388889,0.37096775,0.14825526,0.31007752,0.11931818,0.47826087,0.0
0.23140496,0.2,0.1746988,0.035276074,0.050884955,0.048611112,0.218894,0.03952188,0.24806201,0.08522727,0.65217394,0.0
0.16528925,0.20666666,0.28313252,0.10582822,0.03318584,0.038194444,0.1889401,0.06921149,0.5116279,0.13068181,0.8695652,0.0
0.30578512,0.2,0.19879518,0.06748466,0.07300885,0.10069445,0.28801844,0.13668787,0.4651163,0.125,0.42028984,0.0
0.30578512,0.12666667,0.4759036,0.17407976,0.061946902,0.1736111,0.35253456,0.21746674,0.2015504,0.125,0.10144927,1.0
0.27272728,0.17333333,0.16867469,0.021472393,0.15486726,0.104166664,0.14285715,0.18951224,0.56589144,0.14772727,0.20289855,1.0
0.18181819,0.08,0.42771083,0.015337423,0.30530974,0.03125,0.11059908,0.10776942,0.31007752,0.14204545,0.26086956,1.0
0.1983471,0.11333334,0.15060242,0.012269938,0.03982301,0.11805555,0.2281106,0.07885098,0.4496124,0.125,0.44927537,0.0
0.1322314,0.093333334,0.1746988,0.009202454,0.07300885,0.2361111,0.33640552,0.09003277,0.8062016,0.23295455,0.4347826,0.0
0.24793388,0.11333334,0.1746988,0.021472393,0.06637168,0.0625,0.421659,0.15596683,0.5736434,0.18181819,0.3188406,0.0
0.2644628,0.15333334,0.1746988,0.012269938,0.055309735,0.11111111,0.281106,0.048004627,0.31007752,0.07954545,0.6086956,0.0
0.47107437,0.25333333,0.14457831,0.032208588,0.17699115,0.045138888,0.08755761,0.20994794,0.31007752,0.29545453,0.28985506,0.0
0.2644628,0.16,0.20481928,0.010736196,0.06637168,0.065972224,0.14516129,0.07885098,0.45736435,0.24431819,0.5797101,0.0
0.28099173,0.38333333,0.018072288,0.018404908,0.1460177,0.020833334,0.013824885,0.16888374,0.48062015,0.09659091,0.2173913,1.0
0.2644628,0.12666667,0.19277108,0.09509202,0.07743363,0.15972222,0.43087557,0.12897629,0.39534885,0.09659091,0.49275362,0.0
0.3553719,0.14,0.2951807,0.09969325,0.06637168,0.072916664,0.2718894,0.14054367,0.3255814,0.10795455,0.4057971,0.0
0.36363637,0.34666666,0.10240964,0.02607362,0.13274336,0.034722224,0.15437788,0.1771737,0.37209302,0.13068181,0.1884058,1.0
0.23966943,0.14666666,0.21084337,0.012269938,0.37168142,0.121527776,0.3548387,0.12704839,0.30232558,0.18181819,0.20289855,0.0
0.21487603,0.16666667,0.16867469,0.0076687117,0.057522126,0.10069445,0.23963134,0.08849046,0.31007752,0.11363637,0.36231884,0.0
0.28099173,0.06,0.20481928,0.08895706,0.06637168,0.052083332,0.24193548,0.109311745,0.20930232,0.10227273,0.4057971,0.0
